,disease,symptom_text,specialist,combined_text
17,chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
18,chronic cholestasis,"vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
19,chronic cholestasis,"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
20,chronic cholestasis,"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
21,chronic cholestasis,"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
22,chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes"
23,chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes",Gastroenterologist,"chronic cholestasis: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
24,chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain",Gastroenterologist,"chronic cholestasis: itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain"
25,drug reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",General Physician,"drug reaction: itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
26,drug reaction,"itching, stomach_pain, burning_micturition, spotting_ urination",General Physician,"drug reaction: itching, stomach_pain, burning_micturition, spotting_ urination"
27,drug reaction,"itching, skin_rash, burning_micturition, spotting_ urination",General Physician,"drug reaction: itching, skin_rash, burning_micturition, spotting_ urination"
28,drug reaction,"itching, skin_rash, stomach_pain, spotting_ urination",General Physician,"drug reaction: itching, skin_rash, stomach_pain, spotting_ urination"
29,drug reaction,"itching, skin_rash, stomach_pain, burning_micturition",General Physician,"drug reaction: itching, skin_rash, stomach_pain, burning_micturition"
30,drug reaction,"skin_rash, stomach_pain, burning_micturition, spotting_ urination",General Physician,"drug reaction: skin_rash, stomach_pain, burning_micturition, spotting_ urination"
31,peptic ulcer diseae,"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",General Physician,"peptic ulcer diseae: vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
32,peptic ulcer diseae,"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching",General Physician,"peptic ulcer diseae: vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
33,peptic ulcer diseae,"indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",General Physician,"peptic ulcer diseae: indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
34,peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching",General Physician,"peptic ulcer diseae: vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching"
35,peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching",General Physician,"peptic ulcer diseae: vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching"
36,peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases",General Physician,"peptic ulcer diseae: vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases"
37,peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",General Physician,"peptic ulcer diseae: vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
38,aids,"muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts",Oncologist,"aids: muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
39,aids,"patches_in_throat, high_fever, extra_marital_contacts",Oncologist,"aids: patches_in_throat, high_fever, extra_marital_contacts"
40,aids,"muscle_wasting, high_fever, extra_marital_contacts",Oncologist,"aids: muscle_wasting, high_fever, extra_marital_contacts"
41,aids,"muscle_wasting, patches_in_throat, extra_marital_contacts",Oncologist,"aids: muscle_wasting, patches_in_throat, extra_marital_contacts"
42,aids,"muscle_wasting, patches_in_throat, high_fever",Oncologist,"aids: muscle_wasting, patches_in_throat, high_fever"
43,diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
44,diabetes,"weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
45,diabetes,"fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
46,diabetes,"fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
47,diabetes,"fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
48,diabetes,"fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
49,diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria"
50,diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria"
51,diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria",Endocrinologist,"diabetes: fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria"
52,gastroenteritis,"vomiting, sunken_eyes, dehydration, diarrhoea",Gastroenterologist,"gastroenteritis: vomiting, sunken_eyes, dehydration, diarrhoea"
53,gastroenteritis,"sunken_eyes, dehydration, diarrhoea",Gastroenterologist,"gastroenteritis: sunken_eyes, dehydration, diarrhoea"
54,gastroenteritis,"vomiting, dehydration, diarrhoea",Gastroenterologist,"gastroenteritis: vomiting, dehydration, diarrhoea"
55,gastroenteritis,"vomiting, sunken_eyes, diarrhoea",Gastroenterologist,"gastroenteritis: vomiting, sunken_eyes, diarrhoea"
56,gastroenteritis,"vomiting, sunken_eyes, dehydration",Gastroenterologist,"gastroenteritis: vomiting, sunken_eyes, dehydration"
57,bronchial asthma,"fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum",Pulmonologist,"bronchial asthma: fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
58,bronchial asthma,"cough, high_fever, breathlessness, family_history, mucoid_sputum",Pulmonologist,"bronchial asthma: cough, high_fever, breathlessness, family_history, mucoid_sputum"
59,bronchial asthma,"fatigue, high_fever, breathlessness, family_history, mucoid_sputum",Pulmonologist,"bronchial asthma: fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
60,bronchial asthma,"fatigue, cough, breathlessness, family_history, mucoid_sputum",Pulmonologist,"bronchial asthma: fatigue, cough, breathlessness, family_history, mucoid_sputum"
61,bronchial asthma,"fatigue, cough, high_fever, family_history, mucoid_sputum",Pulmonologist,"bronchial asthma: fatigue, cough, high_fever, family_history, mucoid_sputum"
62,bronchial asthma,"fatigue, cough, high_fever, breathlessness, mucoid_sputum",Pulmonologist,"bronchial asthma: fatigue, cough, high_fever, breathlessness, mucoid_sputum"
63,bronchial asthma,"fatigue, cough, high_fever, breathlessness, family_history",Pulmonologist,"bronchial asthma: fatigue, cough, high_fever, breathlessness, family_history"
64,hypertension,"headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration",Cardiologist,"hypertension: headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
65,hypertension,"chest_pain, dizziness, loss_of_balance, lack_of_concentration",Cardiologist,"hypertension: chest_pain, dizziness, loss_of_balance, lack_of_concentration"
66,hypertension,"headache, dizziness, loss_of_balance, lack_of_concentration",Cardiologist,"hypertension: headache, dizziness, loss_of_balance, lack_of_concentration"
67,hypertension,"headache, chest_pain, loss_of_balance, lack_of_concentration",Cardiologist,"hypertension: headache, chest_pain, loss_of_balance, lack_of_concentration"
68,hypertension,"headache, chest_pain, dizziness, lack_of_concentration",Cardiologist,"hypertension: headache, chest_pain, dizziness, lack_of_concentration"
69,hypertension,"headache, chest_pain, dizziness, loss_of_balance",Cardiologist,"hypertension: headache, chest_pain, dizziness, loss_of_balance"
70,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
71,migraine,"indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
72,migraine,"acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
73,migraine,"acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
74,migraine,"acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
75,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances"
76,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances"
77,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances"
78,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances"
79,migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability",Neurologist,"migraine: acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability"
80,cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance",Neurologist,"cervical spondylosis: back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
81,cervical spondylosis,"weakness_in_limbs, neck_pain, dizziness, loss_of_balance",Neurologist,"cervical spondylosis: weakness_in_limbs, neck_pain, dizziness, loss_of_balance"
82,cervical spondylosis,"back_pain, neck_pain, dizziness, loss_of_balance",Neurologist,"cervical spondylosis: back_pain, neck_pain, dizziness, loss_of_balance"
83,cervical spondylosis,"back_pain, weakness_in_limbs, dizziness, loss_of_balance",Neurologist,"cervical spondylosis: back_pain, weakness_in_limbs, dizziness, loss_of_balance"
84,cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, loss_of_balance",Neurologist,"cervical spondylosis: back_pain, weakness_in_limbs, neck_pain, loss_of_balance"
85,cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness",Neurologist,"cervical spondylosis: back_pain, weakness_in_limbs, neck_pain, dizziness"
86,paralysis (brain hemorrhage),"vomiting, headache, weakness_of_one_body_side, altered_sensorium",Neurologist,"paralysis (brain hemorrhage): vomiting, headache, weakness_of_one_body_side, altered_sensorium"
87,paralysis (brain hemorrhage),"headache, weakness_of_one_body_side, altered_sensorium",Neurologist,"paralysis (brain hemorrhage): headache, weakness_of_one_body_side, altered_sensorium"
88,paralysis (brain hemorrhage),"vomiting, weakness_of_one_body_side, altered_sensorium",Neurologist,"paralysis (brain hemorrhage): vomiting, weakness_of_one_body_side, altered_sensorium"
89,paralysis (brain hemorrhage),"vomiting, headache, altered_sensorium",Neurologist,"paralysis (brain hemorrhage): vomiting, headache, altered_sensorium"
90,paralysis (brain hemorrhage),"vomiting, headache, weakness_of_one_body_side",Neurologist,"paralysis (brain hemorrhage): vomiting, headache, weakness_of_one_body_side"
91,jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
92,jaundice,"vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
93,jaundice,"itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
94,jaundice,"itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
95,jaundice,"itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain"
96,jaundice,"itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain"
97,jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain"
98,jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain",Gastroenterologist,"jaundice: itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain"
99,jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine",Gastroenterologist,"jaundice: itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine"
100,malaria,"chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain",General Physician,"malaria: chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain"
101,malaria,"chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain",General Physician,"malaria: chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
102,malaria,"vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain",General Physician,"malaria: vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
103,malaria,"chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain",General Physician,"malaria: chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
104,malaria,"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain",General Physician,"malaria: chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain"
105,malaria,"chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain",General Physician,"malaria: chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain"
106,malaria,"chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain",General Physician,"malaria: chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain"
107,malaria,"chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain",General Physician,"malaria: chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain"
108,chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
109,chicken pox,"skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
110,chicken pox,"itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
111,chicken pox,"itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
112,chicken pox,"itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
113,chicken pox,"itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
114,chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
115,chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, high_fever, headache, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body"
116,chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, swelled_lymph_nodes, malaise, red_spots_over_body"
117,chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body",General Physician,"chicken pox: itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, malaise, red_spots_over_body"
118,dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body"
119,dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, red_spots_over_body"
120,dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain"
121,dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
122,dengue,"chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
123,dengue,"skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
124,dengue,"skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
125,dengue,"skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
126,dengue,"skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
127,dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",General Physician,"dengue: skin_rash, chills, joint_pain, vomiting, fatigue, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body"
128,typhoid,"chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain",General Physician,"typhoid: chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
129,typhoid,"chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain",General Physician,"typhoid: chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
130,typhoid,"chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain",General Physician,"typhoid: chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
131,typhoid,"chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain",General Physician,"typhoid: chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain"
