symptom,ground_truth,top1_pred,top3_preds,correct_top1,correct_top3,inference_ms
My eyes water constantly and are very itchy and red,Ophthalmologist,ENT Specialist,"['ENT Specialist', 'Ophthalmologist', 'General Physician']",False,True,16.0
I have double vision and difficulty focusing on objects,Ophthalmologist,Neurologist,"['Neurologist', 'Ophthalmologist', 'Endocrinologist']",False,True,15.9
"I have a blocked nose, headache, and facial pain for weeks",ENT Specialist,ENT Specialist,"['ENT Specialist', 'General Physician', 'Neurologist']",True,True,16.9
My throat is very sore and I have swollen painful tonsils,ENT Specialist,ENT Specialist,"['ENT Specialist', 'General Physician', 'Gastroenterologist']",True,True,16.1
I have been losing my hearing gradually in one ear,ENT Specialist,Pediatrician,"['Pediatrician', 'ENT Specialist', 'General Physician']",False,True,16.7
I hear a constant ringing sound in my ears all day,ENT Specialist,ENT Specialist,"['ENT Specialist', 'General Physician', 'Pediatrician']",True,True,15.6
I have frequent nosebleeds and nasal congestion,ENT Specialist,ENT Specialist,"['ENT Specialist', 'General Physician', 'Pulmonologist']",True,True,15.0
I sneeze constantly and have watery eyes and runny nose,ENT Specialist,ENT Specialist,"['ENT Specialist', 'General Physician', 'Endocrinologist']",True,True,15.9
I have a painless lump in my breast that has been growing,Oncologist,Oncologist,"['Oncologist', 'Gynecologist', 'General Physician']",True,True,15.9
I have unexplained weight loss and night sweats for months,Oncologist,Dermatologist,"['Dermatologist', 'Cardiologist', 'General Physician']",False,False,15.6
I feel extremely fatigued and have swollen lymph nodes in my neck,Oncologist,Orthopedist,"['Orthopedist', 'General Physician', 'Neurologist']",False,False,16.1
I have a lump in my neck that has been there for two months,Oncologist,Oncologist,"['Oncologist', 'General Physician', 'Neurologist']",True,True,16.0
I have irregular and very painful periods with heavy bleeding,Gynecologist,Gynecologist,"['Gynecologist', 'General Physician']",True,True,16.0
I have pelvic pain and bloating throughout the month,Gynecologist,Gynecologist,"['Gynecologist', 'General Physician', 'Urologist']",True,True,16.6
I have vaginal discharge that is unusual and has a bad odor,Gynecologist,Gynecologist,"['Gynecologist', 'Urologist', 'General Physician']",True,True,14.9
"My child has high fever, rash and is crying constantly",Pediatrician,Pediatrician,"['Pediatrician', 'General Physician', 'Gastroenterologist']",True,True,16.8
My baby is not gaining weight and refuses to feed properly,Pediatrician,Pediatrician,"['Pediatrician', 'Neurologist', 'General Physician']",True,True,15.0
My child has developmental delays and is not speaking yet,Pediatrician,Neurologist,"['Neurologist', 'ENT Specialist', 'Pediatrician']",False,True,14.8
"I have a fever, body aches, and runny nose since yesterday",General Physician,General Physician,"['General Physician', 'Pulmonologist', 'ENT Specialist']",True,True,15.6
I feel very weak and tired with mild fever and headache,General Physician,General Physician,['General Physician'],True,True,16.3
"I have a sore throat, cough and mild fever since three days",General Physician,General Physician,"['General Physician', 'Pulmonologist', 'ENT Specialist']",True,True,15.8
"I have chills, sweating and high fever that comes and goes",General Physician,General Physician,['General Physician'],True,True,16.0
I feel generally unwell with body pain and loss of appetite,General Physician,Neurologist,"['Neurologist', 'Cardiologist', 'ENT Specialist']",False,False,15.8
